692,163.0,Desodorante
693,42277842.0,Antitranspirante
694,205.0,Antitranspirante
695,42277842.0,Chicle
696,137.0,Chicle
697,42300076.0,Chicle
698,151.0,Chicle
699,42300076.0,Chicle
700,133.0,Conejito
701,42300076.0,Barra
702,143.0,Chicle
703,42300076.0,Barra
704,132.0,Alfajor
705,42300076.0,Chocolate
706,131.0,Chocolate
707,42300076.0,Conejito
708,135.0,Caramelos
709,42300076.0,Caramelos
710,148.0,Caramelos
711,42300076.0,Caramelos
712,149.0,Antitraspirante
713,42300076.0,Antitranspirante
714,139.0,Antitranspirante
715,42300076.0,Antitranspirante
716,137.0,Antitranspirante
717,42300076.0,Chocolate
718,151.0,Chocolate
719,42300076.0,Chocolate
720,148.0,Desodorante
721,42300076.0,Cubanito
722,149.0,Cubanito
723,42300076.0,Chicle
724,133.0,Chocolate
725,42300076.0,Chocolate
726,140.0,Crema
727,42300076.0,Crema
728,131.0,Chocolate
729,42300076.0,Chicle
730,135.0,Sal
731,42300076.0,Huevo
732,140.0,Bocadito
733,42300076.0,Alfajor
734,132.1,Cubanitos
735,42300076.0,Chocolatin
736,134.7,Chocolatin
737,42300076.0,Conejito
738,147.9,Tortuguita
739,42300076.0,Desodorante
740,143.9,Desodorante
741,42300076.0,Tortuguita
742,126.8,Cubanitos
743,42300076.0,Flan
744,132.1,Flan
745,42300076.0,Caramelos
746,130.7,Postre
747,42300076.0,Postre
748,137.3,Gelatina
749,42300076.0,Gelatina
750,150.5,Galletitas
751,42300076.0,Cubanitos
752,134.7,Caramelos
753,42300076.0,Caramelos
754,147.9,Caramelos
755,42300076.0,Caramelos
756,136.0,Chocolate
757,42300076.0,Chocolate
758,140.99,Tableta
759,42300076.0,Alfajor
760,132.99,Alfajor
761,42300076.0,Barra
762,137.0,Chocolate
763,42300076.0,Cafe
764,119.9,Tallarines
765,42300076.0,Repelente
766,131.99,Chocolate
767,42300076.0,Barra
768,134.65,Huevitos
769,42300076.0,Chocolate
770,131.99,Oblea
771,42300076.0,Pastillas
772,148.95,Desodorante
773,42300076.0,Desodorante
774,134.95,Desodorante
775,42300076.0,Desodorante
776,151.0,Desodorante
777,42300076.0,Desodorante
778,147.0,Antitranspirante
779,42300076.0,Antitranspirante
780,143.0,Desodorante
781,42300076.0,Antitranspirante
782,147.0,Desodorante
783,42300076.0,Antitranspirante
784,147.0,Antitranspirante
785,42300076.0,Antitranspirante
786,147.0,Antitranspirante
787,42300076.0,Antitranspirante
788,168.59,Antitranspirante
789,42300076.0,Desodorante
790,147.0,Desodorante
791,42300076.0,Antitranspirante
792,149.85,Cerveza
793,42300076.0,Energizante
794,149.0,Chicle
795,42300076.0,Arroz
796,137.0,Gin
797,42300076.0,Toallitas
798,139.0,Caramelos
799,42300076.0,Caramelos
800,138.0,Ron
801,42300076.0,Galletas
802,186.0,Salsa
803,42300076.0,Salsa
804,167.0,Salsa
805,42300076.0,Salsa
806,174.0,Salsa
807,42300076.0,Salsa
808,139.0,Salsa
809,42300076.0,Salsa
810,222.0,Salsa
811,42300083.0,Ketchup
812,209.0,Ketchup
813,42300083.0,Ketchup
814,225.0,Mostaza
815,42300083.0,Ketchup
816,226.0,Ketchup
817,42300083.0,Ketchup
818,213.0,Ketchup
819,42300083.0,Chocolate
820,203.0,Chocolate
821,42300083.0,Barra
822,205.0,Barra
823,42300083.0,Barra
824,214.0,Barra
825,42300083.0,Barra
826,211.0,Barra
827,42300083.0,Barra
828,231.0,Barra
829,42300083.0,Cerveza
830,239.0,Cerveza
831,42300083.0,Salsa
832,184.0,Salsa
833,42300083.0,Desodorante
834,216.0,Desodorante
835,42300083.0,Mayonesa
836,207.0,Salsa
837,42300083.0,Salsa
838,213.0,Barbacoa
839,42300083.0,Bocado
840,209.0,Pata
841,42300083.0,Panceta
842,160.0,Hamburguesas
843,42300083.0,Nuggets
844,231.0,Rodillo
845,42300083.0,Rodillo
846,234.0,Guantes
847,42300083.0,Guantes
848,239.0,Guantes
849,42300083.0,Guante
850,225.0,Guantes
851,42300083.0,Guantes
852,222.0,Bolsa
853,42300083.0,Bolsa
854,205.0,Bolsa
855,42300083.0,Chicles
856,214.0,Chicles
857,42300083.0,Caramelos
858,206.2,Caramelos
